Time,Vehicle_Count,Queue_Length,Average_Speed,Average_Waiting_Time
1,1,0,13.89,0.0
2,3,0,13.48,0.0
3,5,0,12.18,0.0
4,8,0,10.67,0.0
5,9,0,9.77,0.0
6,12,0,7.76,0.0
7,13,1,7.64,0.08
8,16,1,6.0,0.12
9,16,3,5.49,0.31
10,19,3,5.46,0.42
11,19,5,5.2,0.68
12,19,7,4.51,1.05
13,19,7,4.66,1.42
14,19,8,4.5,1.84
15,19,9,4.69,2.32
16,18,10,3.99,3.0
17,18,10,4.35,3.56
18,20,10,5.06,3.7
19,20,10,5.26,4.2
20,21,10,5.39,4.48
21,20,10,5.26,5.2
22,19,10,4.95,6.0
23,20,10,5.01,6.2
24,20,10,5.04,6.7
25,21,10,5.26,6.86
26,22,10,5.74,7.0
27,19,10,5.03,8.63
28,20,10,5.48,8.7
29,19,10,5.51,9.68
30,20,10,5.48,9.7
31,20,10,5.57,10.2
32,21,10,5.66,10.19
33,19,10,5.24,11.79
34,20,10,5.23,11.7
35,20,10,5.08,12.2
36,20,10,5.11,12.7
37,20,10,5.23,13.2
38,19,10,5.03,14.42
39,20,10,4.91,14.2
40,21,10,5.19,14.0
41,21,10,4.86,14.48
42,22,10,5.27,14.27
43,21,10,4.76,15.43
44,21,10,4.05,15.9
45,21,11,3.19,16.43
46,20,9,2.0,13.9
47,21,8,1.98,10.1
48,20,8,1.65,7.35
49,20,7,2.05,4.1
50,22,6,2.47,0.86
51,22,7,3.15,1.18
52,21,9,3.25,1.67
53,23,10,3.79,1.96
54,21,12,3.42,2.71
55,21,12,4.08,3.29
56,21,12,3.82,3.86
57,21,12,4.21,4.43
58,22,12,4.62,4.77
59,22,12,4.96,5.32
60,22,12,5.19,5.86
61,21,12,4.51,6.71
62,21,12,4.08,7.29
63,20,12,3.74,8.25
64,21,12,3.95,8.43
65,20,12,3.43,9.45
66,21,12,4.2,9.57
67,21,12,3.94,10.14
68,21,12,3.88,10.71
69,20,12,3.61,11.85
70,22,12,4.32,11.32
71,21,12,4.16,12.43
72,21,12,4.39,13.0
73,21,12,4.18,13.57
74,21,12,4.37,14.14
75,22,12,4.58,14.05
76,21,12,4.25,15.29
77,22,12,4.44,15.14
78,21,12,4.08,16.43
79,20,12,3.92,17.85
80,22,12,4.5,16.77
81,20,12,3.85,19.05
82,21,12,4.42,18.71
83,20,12,3.7,20.25
84,21,12,4.39,19.86
85,21,12,4.08,20.43
86,21,12,4.12,21.0
87,20,12,3.83,22.65
88,22,12,4.09,21.14
89,20,12,3.24,23.85
90,22,13,2.94,22.27
91,20,11,1.91,20.55
92,21,10,1.86,15.86
93,22,8,1.99,11.55
94,21,7,1.91,8.38
95,22,6,2.31,4.41
96,22,6,3.0,0.86
97,21,7,3.32,1.24
98,21,9,4.05,1.67
99,20,10,4.14,2.25
100,20,10,4.56,2.75
101,20,10,4.61,3.25
102,19,10,4.66,3.95
103,20,10,4.98,4.25
104,20,10,5.22,4.75
105,19,10,4.86,5.53
106,20,10,5.02,5.75
107,19,10,5.03,6.58
108,20,10,5.48,6.75
109,20,10,5.45,7.25
110,20,10,5.36,7.75
111,20,10,5.33,8.25
112,20,10,5.48,8.75
113,21,10,5.42,8.81
114,20,10,5.33,9.75
115,20,10,5.16,10.25
116,19,10,4.81,11.32
117,20,10,4.98,11.25
118,20,10,4.43,11.75
119,20,10,4.87,12.25
120,20,10,4.76,12.75
121,20,10,4.72,13.25
122,19,10,4.57,14.47
123,20,10,4.94,14.25
124,20,10,5.06,14.75
125,20,10,4.71,15.25
126,20,10,4.92,15.75
127,19,10,4.43,17.11
128,20,10,4.56,16.75
129,21,10,5.15,16.43
130,19,10,4.63,18.68
131,21,10,5.21,17.38
132,20,10,4.87,18.75
133,21,10,4.91,18.33
134,20,10,4.59,19.75
135,21,10,3.89,19.29
136,20,8,3.55,16.25
137,21,7,2.95,11.71
138,19,6,2.09,8.84
139,20,5,2.32,4.45
140,20,5,2.85,0.55
141,21,5,3.3,0.76
142,20,6,2.77,1.1
143,21,7,3.38,1.38
144,21,9,3.49,1.81
145,21,10,3.92,2.29
146,21,12,3.72,2.86
147,21,12,4.08,3.43
148,21,12,3.98,4.0
149,21,12,4.02,4.57
150,20,12,3.82,5.4
151,22,12,4.43,5.45
152,21,12,4.05,6.29
153,22,12,4.32,6.55
154,21,12,4.06,7.43
155,21,12,4.23,8.0
156,22,12,4.62,8.18
157,21,12,4.21,9.14
158,21,12,4.05,9.71
159,20,12,3.86,10.8
160,19,12,3.5,12.0
161,21,12,4.12,11.43
162,21,12,4.56,12.0
163,21,12,4.21,12.57
164,20,12,3.91,13.8
165,20,12,4.06,14.4
166,21,12,4.6,14.29
167,21,12,4.84,14.86
168,20,12,4.24,16.2
169,20,12,4.36,16.8
170,20,12,4.04,17.4
171,21,12,4.64,17.14
172,21,12,4.45,17.71
173,21,12,4.48,18.29
174,20,12,4.14,19.8
175,21,12,4.42,19.43
176,20,12,4.41,21.0
177,21,12,4.46,20.57
178,21,12,4.03,21.14
179,22,12,3.69,20.73
180,22,12,2.7,21.27
181,22,11,2.1,17.82
182,21,10,1.47,15.1
183,22,9,1.91,11.0
184,23,8,2.21,7.35
185,23,6,2.8,4.13
186,23,6,3.36,0.87
187,21,7,3.32,1.29
188,21,8,4.09,1.67
189,20,9,3.59,2.2
190,20,9,4.11,2.65
191,21,10,4.77,3.0
192,20,10,4.46,3.65
193,20,10,4.63,4.15
194,20,10,5.19,4.65
195,20,10,5.14,5.15
196,20,10,5.32,5.65
197,19,10,4.66,6.47
198,20,10,4.88,6.65
199,20,10,5.03,7.15
200,20,10,4.85,7.65
201,20,10,4.8,8.15
202,21,10,4.94,8.24
203,20,10,4.68,9.15
204,20,10,4.75,9.65
205,20,10,4.54,10.15
206,20,10,4.8,10.65
207,20,10,5.0,11.15
208,20,10,4.82,11.65
209,21,10,5.25,11.57
210,21,10,5.0,12.05
211,21,10,5.17,12.52
212,20,10,5.0,13.65
213,21,10,5.11,13.48
214,20,10,4.86,14.65
215,20,10,4.52,15.15
216,20,10,4.8,15.65
217,20,10,5.01,16.15
218,20,10,4.8,16.65
219,20,10,5.01,17.15
220,20,10,5.32,17.65
221,20,10,5.08,18.15
222,20,10,5.18,18.65
223,20,10,4.65,19.15
224,19,10,3.94,20.68
225,20,11,3.2,20.2
226,19,9,2.15,17.05
227,20,8,2.24,12.25
228,19,7,1.71,8.84
229,21,6,1.96,4.33
230,21,5,2.4,0.76
231,21,7,2.91,1.1
232,22,8,3.33,1.41
233,23,9,3.52,1.74
234,21,10,3.03,2.38
235,21,11,3.49,2.9
236,23,11,4.39,3.13
237,21,12,3.96,4.0
238,23,12,4.58,4.17
239,22,12,4.32,4.91
240,21,12,4.01,5.71
241,22,12,4.36,6.0
242,21,12,4.2,6.86
243,22,12,4.45,7.09
244,21,12,4.01,8.0
245,20,12,3.67,9.0
246,22,12,4.3,8.73
247,21,12,4.09,9.71
248,22,12,4.26,9.82
249,21,12,4.09,10.86
250,21,12,4.2,11.43
251,22,12,4.35,11.45
252,21,12,4.07,12.57
253,22,12,4.55,12.55
254,21,12,4.13,13.71
255,21,12,3.95,14.29
256,21,12,3.91,14.86
257,21,12,3.98,15.43
258,22,12,3.88,15.27
259,21,12,3.82,16.57
260,21,12,3.95,17.14
261,21,12,3.65,17.71
262,21,12,4.09,18.29
263,20,12,4.1,19.8
264,22,12,4.76,18.55
265,21,12,4.32,20.0
266,22,12,4.56,19.64
267,20,12,3.93,22.2
268,20,12,3.87,22.8
269,22,12,3.94,21.27
270,21,12,3.08,22.86
271,22,10,2.26,18.27
272,21,9,1.87,15.43
273,21,8,1.99,11.67
274,23,6,2.19,7.26
275,22,6,2.24,4.09
276,22,5,2.92,0.64
277,21,6,3.21,0.9
278,21,8,3.78,1.24
279,20,9,3.85,1.75
280,21,10,4.16,2.14
281,20,10,4.37,2.75
282,20,10,4.83,3.25
283,21,10,5.18,3.57
284,19,10,4.7,4.47
285,19,10,4.75,5.0
286,20,10,4.98,5.25
287,20,10,5.27,5.75
288,20,10,5.02,6.25
289,20,10,5.18,6.75
