Time,Simulation_Step,Vehicle_Count,Queue_Length,Halting_Vehicles,Traffic_Density,Lane_Occupancy,Average_Speed,Maximum_Speed,Minimum_Speed,Average_Acceleration,Average_Waiting_Time,Maximum_Waiting_Time,Current_TLS_Phase,Remaining_Green_Time,North_Count,South_Count,East_Count,West_Count,Car_Count,Bus_Count,Truck_Count,Motorcycle_Count,Emergency_Vehicle_Count,Total_CO2_Emission,Total_Fuel_Consumption,Total_NOx_Emission,Total_PMx_Emission,Average_Travel_Time,Average_Delay,Intersection_Throughput,Congestion_Level,Recommended_Green_Time
1,1,1,0,0,2.7,0.02,13.89,13.89,13.89,0.0,0.0,0.0,0,41.0,1,0,0,0,1,0,0,0,0,2058.86,667.46,0.76,0.4,0.0,0.0,0,0,20
2,2,3,0,0,8.09,0.05,13.48,13.89,13.03,-0.12,0.0,0.0,0,40.0,2,0,0,0,3,0,0,0,0,4048.47,1312.48,1.49,0.77,0.0,0.03,0,0,20
3,3,5,0,0,13.49,0.08,12.18,13.89,10.56,-0.8,0.0,0.0,0,39.0,3,0,0,0,5,0,0,0,0,3885.86,1259.77,1.44,0.69,0.0,0.09,0,0,20
4,4,8,0,0,21.59,0.12,10.67,14.2,6.06,-0.77,0.0,0.0,0,38.0,5,0,0,0,8,0,0,0,0,16237.17,5263.91,5.84,2.04,0.0,0.2,0,0,20
5,5,9,0,0,24.28,0.13,9.77,13.57,3.01,-1.22,0.0,0.0,0,37.0,5,0,0,0,9,0,0,0,0,11185.63,3626.26,3.97,1.44,0.0,0.43,0,0,20
6,6,12,0,0,32.38,0.16,7.76,14.26,0.21,-1.25,0.0,0.0,0,36.0,7,0,0,0,12,0,0,0,0,14757.05,4784.09,6.06,1.77,0.0,0.61,0,1,35
7,7,13,1,1,35.08,0.18,7.64,14.36,0.01,-0.61,0.08,1.0,0,35.0,7,0,0,0,13,0,0,0,0,23940.69,7761.24,7.93,2.02,0.0,1.0,0,1,35
8,8,16,1,1,43.17,0.22,6.0,14.22,0.0,-0.98,0.12,2.0,0,34.0,9,0,0,0,16,0,0,0,0,14351.56,4652.73,5.9,1.2,0.0,1.25,0,1,35
9,9,16,3,3,43.17,0.21,5.49,14.21,0.0,-0.51,0.31,3.0,0,33.0,9,0,0,0,16,0,0,0,0,21929.33,7109.24,7.87,1.31,0.0,1.82,0,1,35
10,10,19,3,3,51.27,0.25,5.46,14.31,0.0,-0.37,0.42,4.0,0,32.0,10,1,0,0,19,0,0,0,0,23111.86,7492.67,8.64,1.3,0.0,2.07,0,1,35
11,11,19,5,5,51.27,0.26,5.2,14.02,0.0,-0.26,0.68,5.0,0,31.0,10,1,0,0,19,0,0,0,0,33117.5,10736.39,12.1,2.16,0.0,2.67,0,1,35
12,12,19,7,7,51.27,0.26,4.51,13.89,0.0,-0.32,1.05,6.0,0,30.0,10,1,0,0,19,0,0,0,0,28667.42,9293.88,11.52,1.77,9.5,3.25,2,1,35
13,13,19,7,7,51.27,0.27,4.66,14.45,0.0,0.15,1.42,7.0,0,29.0,10,2,0,0,19,0,0,0,0,36766.58,11919.39,13.61,2.31,0.0,3.91,0,1,35
14,14,19,8,8,51.27,0.26,4.5,13.66,0.0,0.11,1.84,8.0,0,28.0,10,1,0,0,19,0,0,0,0,36111.96,11707.16,13.09,1.96,9.5,4.42,2,2,50
15,15,19,9,9,51.27,0.26,4.69,13.49,0.0,0.19,2.32,9.0,0,27.0,10,1,0,0,19,0,0,0,0,39489.37,12802.03,14.12,2.01,0.0,5.07,0,2,50
16,16,18,10,10,48.57,0.25,3.99,13.44,0.0,0.03,3.0,10.0,0,26.0,10,0,0,0,18,0,0,0,0,31228.34,10123.98,11.86,1.58,9.5,5.86,2,2,50
17,17,18,10,10,48.57,0.24,4.35,13.05,0.0,0.36,3.56,11.0,0,25.0,10,0,0,0,18,0,0,0,0,41975.59,13607.99,14.82,1.7,0.0,6.51,0,2,50
18,18,20,10,10,53.96,0.26,5.06,14.67,0.0,0.3,3.7,12.0,0,24.0,10,1,0,0,20,0,0,0,0,48857.58,15839.1,17.85,3.0,0.0,6.44,0,1,35
19,19,20,10,10,53.96,0.28,5.26,15.47,0.0,0.2,4.2,13.0,0,23.0,10,1,0,0,20,0,0,0,0,47075.47,15261.29,16.71,2.24,0.0,7.06,0,1,35
20,20,21,10,10,56.66,0.27,5.39,14.85,0.0,0.08,4.48,14.0,0,22.0,10,1,0,0,21,0,0,0,0,43010.46,13943.52,15.39,2.28,10.0,7.28,1,1,35
21,21,20,10,10,53.96,0.28,5.26,13.54,0.0,0.35,5.2,15.0,0,21.0,10,1,0,0,20,0,0,0,0,52727.14,17093.5,18.71,2.85,13.0,8.05,1,1,35
22,22,19,10,10,51.27,0.24,4.95,13.9,0.0,0.0,6.0,16.0,0,20.0,10,0,0,0,19,0,0,0,0,36715.36,11902.73,13.29,1.85,11.0,8.84,2,2,50
23,23,20,10,10,53.96,0.27,5.01,13.53,0.0,-0.04,6.2,17.0,0,19.0,10,1,0,0,20,0,0,0,0,33479.03,10853.59,12.29,1.65,0.0,9.01,0,1,35
24,24,20,10,10,53.96,0.27,5.04,13.72,0.0,-0.05,6.7,18.0,0,18.0,10,1,0,0,20,0,0,0,0,33519.32,10866.62,12.08,1.66,10.0,9.6,1,1,35
25,25,21,10,10,56.66,0.28,5.26,14.81,0.0,0.16,6.86,19.0,0,17.0,10,1,0,0,21,0,0,0,0,45672.84,14806.65,16.5,2.8,0.0,9.72,0,1,35
26,26,22,10,10,59.36,0.3,5.74,14.83,0.0,0.08,7.0,20.0,0,16.0,10,2,0,0,22,0,0,0,0,39634.11,12848.99,14.27,2.5,0.0,9.87,0,1,35
